,0,1,2,3,4,5,6,7,8,9,10,11
-2171.778086_2845.402956,0.19549200767555514,0.013394136097338647,0.07407397119294452,0.2377620596293418,0.02377415576873408,0.055150108355376655,0.013842036951509975,0.027305469110355318,0.0037506998284141564,0.23388455144742432,0.011558305474989532,0.110012498468016
-2171.778086_2945.402956,0.27992136194336625,0.028441551548554475,0.008191675346395005,0.22978465561286654,0.011929743522881274,0.06560897722610676,0.00014736246713448417,0.01366466802617494,0.00011624477354707017,0.0545975781711722,0.09144081984392935,0.21615536151787146
-2171.778086_3045.402956,0.11175020205628232,0.03742984801555181,0.08207829684316943,0.1239028340093883,0.0022912747632627254,0.1627165867571835,0.0007961172570753318,0.005572935875934759,0.020714392043033613,0.08732282237301255,0.00010775050316290505,0.36531693950294286
-2171.778086_3145.402956,0.1871488371326042,0.019052957596884128,0.040496569674700986,0.15410019949796033,0.05135293947927318,0.13355688369305538,0.017610109399379854,0.02974194438126327,0.00011861968745579205,0.04086652676479075,0.05338399853182623,0.27257041416080574
-2171.778086_3245.402956,0.22341075515312464,0.037000589206872665,0.15028033846256234,0.16347246424747822,0.03631004333800064,0.04428456363959562,0.03526584496270644,0.016569225482328566,0.0011609380106692728,0.11502223270640763,0.10073589606004359,0.07648710873021043
-2171.778086_3345.402956,0.20541540960427548,0.000418851261347565,0.056723432971936216,0.02440297074945543,0.17438864408740543,0.048291718328113555,0.026951034039921783,0.08921908697668013,7.662624924817687e-05,0.06114406893016905,0.056917671572644046,0.256050485228803
-2171.778086_3445.402956,0.28322985780142096,0.009363974908744185,0.06628151490972296,0.22523069909694673,0.19870542406161565,0.0165523721814947,0.004686651881897333,0.1497058334944295,0.0017814703730335928,0.019398910859228662,0.00043687515743589026,0.02462641527402955
-2171.778086_3545.402956,0.38554341583423274,0.01791722796238763,0.04106683215261273,0.06915939655092244,0.15149992419525182,0.05174461258506078,4.3360145074628436e-05,0.19441652047203797,0.0032820676246221457,0.06215499424557689,0.004004259571704398,0.01916738866051581
-2171.778086_3645.402956,0.37203182906713306,0.030228634315420472,0.04882748023090653,0.04882188631591613,0.28432192753543495,0.02593745306769601,3.501952813094951e-05,0.1360572011112994,5.8445233411129475e-05,4.07331540417505e-05,0.008996880125154922,0.04464251031545489
-2171.778086_3745.402956,0.33889057140174966,0.005453775305775012,0.12684664301100063,0.05890556648441752,0.21481221374474294,0.004135189670247348,0.010601682870620651,0.10797249375920814,0.002401861688694034,0.007044831542992019,0.10401034221263243,0.01892482830791964
-2171.778086_3845.402956,0.24487449651772553,0.0003691506880199801,0.13166676226358984,0.21132066138477942,0.11924590301120065,0.046731042484239566,0.013818569045122088,0.07429153222532606,0.0007893345621525452,0.05615317948378486,0.011517714472369855,0.08922165386168965
-2171.778086_3945.402956,0.2740970417730548,0.04856542944352728,0.05440319037244551,0.1202739907872538,0.045353550860218805,0.0383178557176847,0.00872277757262087,0.2338063090145137,0.0024703984453478115,0.07665345801353181,0.07572720859749944,0.021608789402301525
-2171.778086_4045.402956,0.14902265609658705,0.05086511286566762,0.13464760361538144,0.1336310779097964,0.006423125059241339,0.010650398798976234,0.00048509803104247994,0.389127220153196,0.00010643809378289363,0.00011035563607992221,0.10244770890910569,0.0224832048311428
-2171.778086_4145.402956,0.03552583829849356,0.012764399689143212,0.10212139255471828,0.0036228792882769434,0.016463182118199665,0.2540129025439858,0.008622001296092575,0.13387878572520273,7.813297659296317e-05,0.15860656885961813,0.1377001415088952,0.13660377514078093
